account_code;account_name;closing_debit;closing_credit;economic_net;economic_side;coa_code;account_type;functional_type;report_line;inclusion;issue_type;notes
1012;CAPITAL SUBSCRIS VARSAT;0;90000;-90000;credit;1012;equity;pasiv;bs_1560;included;;
1061;REZERVE LEGALE;0;18000;-18000;credit;1061;equity;pasiv;bs_1470;included;;
1171;REZULTATUL REPORTAT - PROFITUL NEREP./ PIREDERE NEACOP.;0;28642989.99;-28642989.99;credit;1171;equity;bifunctional;bs_1510;included;equity_routed_ok;
1174;REZULTATUL REPORTAT DIN CORECTAREA ERORILOR CONTAB.;251000;0;251000;debit;1174;equity;bifunctional;bs_1520;included;equity_routed_ok;
121;PROFIT SI PIERDERE;0;3722504.03;-3722504.03;credit;121;equity;bifunctional;bs_1450;included;equity_routed_ok;
1621;CREDITE BANCARE PE TERMEN LUNG;0;34957390.99;-34957390.99;credit;1621;liability;pasiv;bs_1330;included;;
167;ALTE IMPRUMUTURI SI DATORII ASIMILATE;0;10178379.71;-10178379.71;credit;167;liability;pasiv;bs_1340;included;;
205;CONCESIUNI, BREVETE, LICENTE, MARCI COMERCIALE;24867.69;0;24867.69;debit;205;asset;activ;bs_35;included;;
2071;FOND COMERCIAL POZITIV;55083.92;0;55083.92;debit;2071;asset;activ;bs_38;included;;
208;ALTE IMOBILIZARI NECORPORALE;461794.14;0;461794.14;debit;208;asset;activ;bs_40;included;;
2111;TERENURI;983756.91;0;983756.91;debit;2111;asset;activ;bs_140;included;;
212;CONSTRUCTII;34684538.66;0;34684538.66;debit;212;asset;activ;bs_150;included;;
2131;ECHIPAMENTE TEHNOLOGICE (MASINI,UTILAJE);6027745.93;0;6027745.93;debit;2131;asset;activ;bs_170;included;;
2132;APARATE SI INSTALATII DE MASURA, CONTROL SI REGLARE;5102556.2;0;5102556.2;debit;2132;asset;activ;bs_180;included;;
2133;MIJLOACE DE TRANSPORT;12849861.05;0;12849861.05;debit;2133;asset;activ;bs_190;included;;
214;MOBILIER, APARATURA BIROTICA, ALTE ACTIVE CORPORALE;305308.31;0;305308.31;debit;214;asset;activ;bs_200;included;;
