sort_order	statement_type	report_area	section_l1	section_l2	section_l3	section_l4	account_code	account_name	parent_code	parent_name	row_type	normal_balance	report_sign	is_leaf_for_calculation	formula_or_rule	notes
10	Balance Sheet	Active	Active imobilizate								REPORT_GROUP	Debit	+	FALSE	Agregare conturi active imobilizate	Nod de raportare
20	Balance Sheet	Active	Active imobilizate	Imobilizări necorporale (intangibile) nete							CALCULATED	Debit	calculated	FALSE	Imobilizări necorporale brute - amortizare cumulată necorporale	
30	Balance Sheet	Active	Active imobilizate	Imobilizări necorporale (intangibile) nete	Imobilizări necorporale (intangibile) brute						REPORT_GROUP	Debit	+	FALSE		
40	Balance Sheet	Active	Active imobilizate	Imobilizări necorporale (intangibile) nete	Imobilizări necorporale (intangibile) brute		208	Alte imobilizări necorporale		Imobilizări necorporale brute	ACCOUNT_LEAF	Debit	+	TRUE		
50	Balance Sheet	Active	Active imobilizate	Imobilizări necorporale (intangibile) nete	Amortizare cumulată pentru imobilizări necorporale						REPORT_GROUP	Credit	-	FALSE		
60	Balance Sheet	Active	Active imobilizate	Imobilizări necorporale (intangibile) nete	Amortizare cumulată pentru imobilizări necorporale		280	Amortizări privind imobilizările necorporale		Amortizare cumulată pentru imobilizări necorporale	ACCOUNT_GROUP	Credit	-	FALSE		Contra-activ; cont sintetic cu analitic în structură
70	Balance Sheet	Active	Active imobilizate	Imobilizări necorporale (intangibile) nete	Amortizare cumulată pentru imobilizări necorporale	280	2808	Amortizarea altor imobilizări necorporale	280	Amortizări privind imobilizările necorporale	ACCOUNT_LEAF	Credit	-	TRUE		Contra-activ
80	Balance Sheet	Active	Active imobilizate	Investiții financiare pe termen lung nete							CALCULATED	Debit	calculated	FALSE	Investiții financiare pe termen lung brute - ajustări dacă există	
90	Balance Sheet	Active	Active imobilizate	Investiții financiare pe termen lung nete	Investiții financiare pe termen lung brute						REPORT_GROUP	Debit	+	FALSE		
100	Balance Sheet	Active	Active imobilizate	Investiții financiare pe termen lung nete	Investiții financiare pe termen lung brute		265	Alte titluri imobilizate		Investiții financiare pe termen lung brute	ACCOUNT_LEAF	Debit	+	TRUE		
110	Balance Sheet	Active	Active imobilizate	Imobilizări corporale (tangibile) nete							CALCULATED	Debit	calculated	FALSE	Imobilizări corporale brute - amortizare cumulată corporală	
120	Balance Sheet	Active	Active imobilizate	Imobilizări corporale (tangibile) nete	Imobilizări corporale (tangibile) brute						REPORT_GROUP	Debit	+	FALSE		
130	Balance Sheet	Active	Active imobilizate	Imobilizări corporale (tangibile) nete	Imobilizări corporale (tangibile) brute		211	Terenuri și amenajări de terenuri		Imobilizări corporale brute	ACCOUNT_GROUP	Debit	+	FALSE		
140	Balance Sheet	Active	Active imobilizate	Imobilizări corporale (tangibile) nete	Imobilizări corporale (tangibile) brute	211	2111	Terenuri	211	Terenuri și amenajări de terenuri	ACCOUNT_LEAF	Debit	+	TRUE		
150	Balance Sheet	Active	Active imobilizate	Imobilizări corporale (tangibile) nete	Imobilizări corporale (tangibile) brute		212	Construcții		Imobilizări corporale brute	ACCOUNT_LEAF	Debit	+	TRUE		
160	Balance Sheet	Active	Active imobilizate	Imobilizări corporale (tangibile) nete	Imobilizări corporale (tangibile) brute		213	Instalații tehnice și mijloace de transport		Imobilizări corporale brute	ACCOUNT_GROUP	Debit	+	FALSE		
170	Balance Sheet	Active	Active imobilizate	Imobilizări corporale (tangibile) nete	Imobilizări corporale (tangibile) brute	213	2131	Echipamente tehnologice, mașini, utilaje și instalații de lucru	213	Instalații tehnice și mijloace de transport	ACCOUNT_LEAF	Debit	+	TRUE		
